source_id,source_family,data_role,source_url,official_or_secondary,expected_update_frequency,version_policy,raw_commit_allowed,notes
hydroatlas,HydroSHEDS,basin context,https://www.hydrosheds.org/products/hydroatlas,official,occasional,Check size/license before download; prefer local_paths.yaml for manual files.,False,"Basin attributes, not DOC label data."
hydrobasins_standard_full,HydroSHEDS,basin context geometry,https://www.hydrosheds.org/products/hydrobasins,official,occasional,"Full continental HydroBASINS standard all-level zip files, version from filename.",False,Full acquisition target for publication-grade upstream basin context; raw zips and unpacked files are gitignored.
hydrobasins_custom_lakes_full,HydroSHEDS,basin context geometry fallback,https://www.hydrosheds.org/products/hydrobasins,official,occasional,"Full continental HydroBASINS customized-with-lakes all-level zip files, version from filename.",False,Secondary/fallback geometry source; not DOC label data.
hydrobasins_pour_points_full,HydroSHEDS,basin outlet auxiliary,https://www.hydrosheds.org/products/hydrobasins,official,occasional,HydroBASINS pour-point levels from filename.,False,Auxiliary outlet matching source for basin QA.
hydrorivers_global,HydroSHEDS,river network snapping,https://www.hydrosheds.org/products/hydrorivers,official,occasional,HydroRIVERS version from filename.,False,Primary HydroRIVERS global geodatabase source for station-to-reach snapping.
hydrorivers_global_fallback_shapefile,HydroSHEDS,river network snapping fallback,https://www.hydrosheds.org/products/hydrorivers,official,occasional,HydroRIVERS shapefile version from filename.,False,Fallback only if geodatabase read fails or config enables shapefile fallbacks.
basinatlas_global_gdb,HydroATLAS,basin attributes,https://www.hydrosheds.org/hydroatlas,official,occasional,Global BasinATLAS geodatabase version from product release.,False,Publication-grade basin attribute source; raw geodatabase is gitignored.
riveratlas_global_gdb,HydroATLAS,river reach attributes,https://www.hydrosheds.org/hydroatlas,official,occasional,Global RiverATLAS geodatabase version from product release.,False,Station reach attribute source; raw geodatabase is gitignored.
lakeatlas_global_gdb,HydroATLAS,optional lake context,https://www.hydrosheds.org/hydroatlas,official,occasional,Global LakeATLAS geodatabase version from product release.,False,Optional upstream lake-context source; absence should not block core training readiness.
basinatlas_global_shp_fallback,HydroATLAS,basin attributes fallback,https://www.hydrosheds.org/hydroatlas,official,occasional,Global BasinATLAS shapefile fallback version from product release.,False,Fallback only if geodatabase read fails or config enables shapefile fallbacks.
riveratlas_global_shp_fallback,HydroATLAS,river reach attributes fallback,https://www.hydrosheds.org/hydroatlas,official,occasional,Global RiverATLAS shapefile fallback version from product release.,False,Fallback only if geodatabase read fails or config enables shapefile fallbacks.
lakeatlas_global_shp_fallback,HydroATLAS,optional lake context fallback,https://www.hydrosheds.org/hydroatlas,official,occasional,Global LakeATLAS shapefile fallback version from product release.,False,Optional fallback only if geodatabase read fails or config enables shapefile fallbacks.
